05-25 12:21:08.881: 开始了，开始了 
05-25 12:21:20.270: init market data 
05-25 12:21:20.272: sign in 
05-25 12:21:20.400: ======MD 连接成功====== 
05-25 12:21:20.407: MD 请求登陆 
05-25 12:21:20.439: login successfully 
05-25 12:21:20.439: date:  20210525 
05-25 12:21:20.439: time:   
05-25 12:21:20.439: broker ID:   
05-25 12:21:20.439: user ID:   
05-25 12:21:20.439: 初始化交易... 
05-25 12:21:20.603: =====建立网络连接成功===== 
05-25 12:21:20.603: >>>>>>发送认证请求成功 
05-25 12:21:20.680: =====账户认证成功===== 
05-25 12:21:20.680: appID：  client_brookeSpd_1.0.0 
05-25 12:21:20.680: app type：  1 
05-25 12:21:20.830: >>>>>>发送登录请求成功 
05-25 12:21:20.874: =====账户登录成功===== 
05-25 12:21:20.874: 交易日：  20210525 
05-25 12:21:20.874: 登录时间：  12:21:19 
05-25 12:21:20.874: 经纪商：  0262 
05-25 12:21:20.874: 帐户名：  292371 
05-25 12:21:20.875: >>>>>>发送投资者结算结果确认请求成功 
05-25 12:21:20.907: "21:00:51,pb2108,1,0,1,15380,全部成交,      264334,SHFE" 
05-25 12:21:20.907: =====报单成功成交===== 
05-25 12:21:20.907: 成交时间：  21:00:51 
05-25 12:21:20.907: 合约代码：  pb2108 
05-25 12:21:20.908: 成交价格：  15380 
05-25 12:21:20.908: 成交量：  1 
05-25 12:21:20.908: 买卖方向：  1 
05-25 12:21:20.908: 开平仓方向：  0 
05-25 12:21:20.908: 成交号：         62267 
05-25 12:21:20.908: 委托号：        264334 
05-25 12:21:20.909: "21:00:51,pb2107,0,0,1,15315,全部成交,      264476,SHFE" 
05-25 12:21:20.909: =====报单成功成交===== 
05-25 12:21:20.909: 成交时间：  21:00:51 
05-25 12:21:20.909: 合约代码：  pb2107 
05-25 12:21:20.910: 成交价格：  15315 
05-25 12:21:20.910: 成交量：  1 
05-25 12:21:20.910: 买卖方向：  0 
05-25 12:21:20.910: 开平仓方向：  0 
05-25 12:21:20.910: 成交号：         62325 
05-25 12:21:20.910: 委托号：        264476 
05-25 12:21:20.910: "21:01:23,pb2108,0,3,1,15375,未成交,      363462,SHFE" 
05-25 12:21:20.910: "21:01:23,pb2108,0,3,1,15375,未成交,      363462,SHFE" 
05-25 12:21:20.910: "21:01:23,pb2108,0,3,1,15375,已撤单,      363462,SHFE" 
05-25 12:21:20.910: "21:18:03,pb2108,0,3,1,15435,未成交,     2821586,SHFE" 
05-25 12:21:20.910: "21:18:03,pb2108,0,3,1,15435,未成交,     2821586,SHFE" 
05-25 12:21:20.910: "21:18:03,pb2108,0,3,1,15435,已撤单,     2821586,SHFE" 
05-25 12:21:20.910: "21:25:27,pb2108,0,3,1,15440,未成交,     3716666,SHFE" 
05-25 12:21:20.940: "21:25:27,pb2108,0,3,1,15440,未成交,     3716666,SHFE" 
05-25 12:21:20.940: "21:25:27,pb2108,0,3,1,15440,已撤单,     3716666,SHFE" 
05-25 12:21:20.940: "21:27:13,pb2108,0,3,1,15445,未成交,     3912181,SHFE" 
05-25 12:21:20.941: "21:27:13,pb2108,0,3,1,15445,未成交,     3912181,SHFE" 
05-25 12:21:20.941: "21:27:13,pb2108,0,3,1,15445,已撤单,     3912181,SHFE" 
05-25 12:21:20.941: "21:28:20,pb2108,0,3,1,15450,未成交,     4063587,SHFE" 
05-25 12:21:20.941: "21:28:20,pb2108,0,3,1,15450,未成交,     4063587,SHFE" 
05-25 12:21:20.941: "21:28:20,pb2108,0,3,1,15450,已撤单,     4063587,SHFE" 
05-25 12:21:20.941: "21:31:17,pb2108,0,3,1,15440,未成交,     4576351,SHFE" 
05-25 12:21:20.941: "21:31:17,pb2108,0,3,1,15440,未成交,     4576351,SHFE" 
05-25 12:21:20.941: "21:31:17,pb2108,0,3,1,15440,已撤单,     4576351,SHFE" 
05-25 12:21:20.941: "21:31:40,pb2108,0,3,1,15440,未成交,     4624433,SHFE" 
05-25 12:21:20.941: "21:31:40,pb2108,0,3,1,15440,未成交,     4624433,SHFE" 
05-25 12:21:20.941: "21:31:40,pb2108,0,3,1,15440,已撤单,     4624433,SHFE" 
05-25 12:21:20.941: "21:32:18,pb2108,0,3,1,15440,未成交,     4739208,SHFE" 
05-25 12:21:20.941: "21:32:18,pb2108,0,3,1,15440,未成交,     4739208,SHFE" 
05-25 12:21:20.941: "21:32:18,pb2108,0,3,1,15440,已撤单,     4739208,SHFE" 
05-25 12:21:20.975: "21:32:36,pb2108,0,3,1,15440,未成交,     4780553,SHFE" 
05-25 12:21:20.975: "21:32:36,pb2108,0,3,1,15440,未成交,     4780553,SHFE" 
05-25 12:21:20.975: "21:32:36,pb2108,0,3,1,15440,已撤单,     4780553,SHFE" 
05-25 12:21:20.975: "21:32:44,pb2108,0,3,1,15440,未成交,     4794756,SHFE" 
05-25 12:21:20.976: "21:32:44,pb2108,0,3,1,15440,未成交,     4794756,SHFE" 
05-25 12:21:20.976: "21:32:44,pb2108,0,3,1,15440,已撤单,     4794756,SHFE" 
05-25 12:21:20.976: "21:32:55,pb2108,0,3,1,15440,未成交,     4819696,SHFE" 
05-25 12:21:20.976: "21:32:55,pb2108,0,3,1,15440,未成交,     4819696,SHFE" 
05-25 12:21:20.976: "21:32:55,pb2108,0,3,1,15440,已撤单,     4819696,SHFE" 
05-25 12:21:20.976: "21:33:30,pb2108,0,3,1,15440,未成交,     4911040,SHFE" 
05-25 12:21:20.976: "21:33:30,pb2108,0,3,1,15440,未成交,     4911040,SHFE" 
05-25 12:21:20.976: "21:33:30,pb2108,0,3,1,15440,已撤单,     4911040,SHFE" 
05-25 12:21:20.976: "21:34:12,pb2108,0,3,1,15440,未成交,     4996027,SHFE" 
05-25 12:21:20.976: "21:34:12,pb2108,0,3,1,15440,未成交,     4996027,SHFE" 
